guests;beruf;bereich;partei;geschlecht
Sonja Zekri;journalist;bund;;frau
Christiane Benner;gewerkschafter;bund;;frau
Claus Kleber;journalist;bund;;mann
Kai Wegner;politiker;berlin;cdu;mann
Christian Drosten;virologe;;;mann
Gitta Connemann;politiker;bund;cdu;frau
Vassili Golod;journalist;;;mann
 Wolfram Weimer;verleger;bund;;mann
Mojib Latif;klimaforscher;;;mann
Theo Koll;journalist;bund;;mann
Victoria Rietig;forscher;bund;;frau
Sarah Bosetti;autor;;;frau
Sabine Leutheusser-Schnarrenberger;politiker;land;fdp;frau
Malu Dreyer;politiker;rheinland-pfalz;spd;frau
Wolfgang Kubicki;politiker;bund;fdp;mann
Stephan Weil;politiker;nordrhein-westfalen;spd;mann
Gregor Peter Schmitz;journalist;bund;;mann
Matthias Maurer;astronaut;;;mann
Christian Kullmann;manager;bund;;mann
Boris Pistorius;politiker;bund;spd;mann
Veronika Grimm;wissenschaftlerin;bund;;frau
Franziska Brantner;politiker;bund;gruene;frau
Thomas Walde;journalist;frankreich;;mann
Jessica Rosenthal;politiker;bund;spd;frau
Klaus Wowereit;politiker;berlin;spd;mann
Katrin Eigendorf;journalist;;;frau
Jens Spahn;politiker;bund;cdu;mann
Kevin Kühnert;politiker;bund;spd;mann
Anja Maier;journalist;bund;;frau
Ulf Buermeyer;aktivist;bund;;mann
Michaela Kaniber;politiker;bayern;csu;frau
Mary Elise Sarotte;historiker;usa;;frau
Josef Ackermann;manager;schweiz;;mann
Roman Deininger;journalist;;;mann
Katja Kipping;politiker;berlin;linke;frau
Werner Eckert;journalist;;;mann
Gerhart Baum;politiker;bund;fdp;mann
Urban Priol;kabarettist;;;mann
Thorsten Frei;politiker;bund;cdu;mann
Tino Schomann;politiker;nordwestmecklenburg;cdu;mann
Kristin Helberg;journalist;;;frau
Dietmar Bartsch;politiker;bund;linke;mann
Oliver Welke;satiriker;bund;;mann
Robin Alexander;journalist;bund;;mann
Sahra Wagenknecht;politiker;bund;bsw;frau
John Bolton;politiker;usa;;mann
Marcel Fratzscher;wissenschaftler;eu;;mann
Fabio De Masi;politiker;eu;bsw;mann
Cansel Kiziltepe;politiker;berlin;spd;frau
Cherno Jobatey;journalist;;;mann
Carla Hinrichs;aktivist;;;frau
Ben Hodges;general;usa;;mann
Herbert Reul;politiker;nordrhein-westfalen;cdu;mann
Pinar Atalay;journalist;;;frau
Vitali Klitschko;politiker;ukraine;;mann
Gesine Schwan;wissenschaftler;bund;spd;frau
Beatrix von Storch;politiker;bund;afd;frau
Andrij Melnyk;politiker;ukraine;;mann
Fredi Bobic;sportmanager;;;mann
Jan Josef Liefers;schauspieler;;;mann
Wolfgang Ischinger;politiker;;;mann
Hans Uszkoreit;wissenschaftler;;;mann
Waldemar Hartmann;journalist;;;mann
Carsten Linnemann;politiker;bund;cdu;mann
Anna Planken;journalist;;;frau
Katarina Barley;politiker;eu;spd;frau
Katja Kraus;sportler;;;frau
Karin Prien;politiker;schleswig-holstein;cdu;frau
Alexander Kissler;journalist;;;mann
Katrin Göring-Eckardt;politiker;bund;gruene;frau
Friedrich Merz;politiker;bund;cdu;mann
Lars Klingbeil;politiker;bund;spd;mann
Paul Ronzheimer;journalist;bund;;mann
Yasmin Fahimi;politiker;bund;spd;frau
Markus Söder;politiker;bayern;csu;mann
Christian Lindner;politiker;bund;fdp;mann
Karl Lauterbach;politiker;bund;spd;mann
Kai Diekmann;journalist;;;mann
Tino Chrupalla;politiker;bund;afd;mann
Volker Wissing;politiker;bund;fdp;mann
Tina Hassel;autor;;;mann
Gregor Gysi;politiker;bund;linke;mann
Luisa Neubauer;aktivist;bund;;frau
Tilo Jung;journalist;bund;;mann
Boris Palmer;politiker;tuebingen;;mann
Sascha Lobo;journalist;bund;;mann
Annalena Baerbock;politiker;bund;gruene;frau
Omid Nouripour;politiker;bund;gruene;mann
Yassin Musharbash;journalist;bund;;mann
Alexander Dobrindt;politiker;bund;csu;mann
Ricardo Lange;krankenpfleger;;;mann
Peter Altmaier;politiker;bund;cdu;mann
Wolfgang Bosbach;politiker;bund;cdu;mann
Nancy Faeser;politiker;bund;spd;frau
Jana Hensel;autor;;;frau
Melanie Amann;journalist;bund;;frau
Reiner Haseloff;politiker;sachsen-anhalt;cdu;mann
Ahmad Mansour;autor;;;mann
